"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","6","red","frc5724","frc8230","frc6194","65","12","15","None","Level","23","45","Docked","Level"
"2","10","blue","frc5724","frc623","frc1915","39","3","9","None","NotLevel","5","25","Docked","Level"
"3","14","red","frc401","frc9235","frc5724","110","12","30","None","Level","40","60","None","Level"
"4","21","red","frc619","frc2363","frc5724","122","21","32","None","NotLevel","40","60","Docked","Level"
"5","27","red","frc4456","frc5724","frc4505","27","0","6","None","NotLevel","14","16","Docked","Level"
"6","30","blue","frc9033","frc5724","frc540","51","6","9","None","Level","22","32","Docked","NotLevel"
"7","35","red","frc5724","frc6504","frc1629","89","12","26","None","NotLevel","33","53","None","Level"
"8","41","blue","frc1262","frc5724","frc3373","40","3","6","None","Level","17","29","Docked","NotLevel"
"9","50","red","frc1731","frc5724","frc346","129","15","33","None","Level","39","61","Docked","Level"
"10","53","blue","frc977","frc2028","frc5724","77","10","28","None","Level","24","44","Docked","Level"
"11","59","blue","frc5724","frc3136","frc9003","74","15","30","None","Level","19","39","None","Level"
"12","63","blue","frc3939","frc8592","frc5724","96","12","30","None","Level","34","56","Docked","Level"
