"","team","opr","auto_opr","teleop_opr","auto_opr_%"
"1","frc2363",66.0632956382304,15.7715113114483,33.5517107972833,0.238733341397541
"2","frc401",45.1050414035933,14.7501546102294,22.4139135652303,0.327017870979148
"3","frc1731",43.0294323830554,7.99960115429244,24.0393170801082,0.185909985590296
"4","frc1629",41.6054218365798,8.82939635131158,23.9094694155344,0.212217445745225
"5","frc6802",38.0088080385308,15.1265903999596,17.387011852688,0.397975921387097
"6","frc3136",37.170249428312,9.93921850253096,21.8737030326648,0.267397143021602
"7","frc422",36.8785970405189,11.0314964419369,18.2418295805455,0.29913004634684
"8","frc346",35.9045419818382,7.1505075200144,13.302798101651,0.19915328605588
"9","frc2106",34.5295549470311,10.0024111840667,18.4253288494572,0.289676805838087
"10","frc623",29.4707678199909,8.84830992578905,13.4944553999447,0.300240223798546
"11","frc8230",28.790286889711,10.4408964410758,14.588223313111,0.362653435204465
"12","frc8592",27.1847636463501,9.12729515628716,14.2362850169053,0.335750395884447
"13","frc5724",26.3682696456475,8.02735092443842,16.0170289667669,0.304432222224466
"14","frc4456",25.6456789189379,5.91203185326617,15.0939361767441,0.230527406661887
"15","frc404",25.2396641935998,6.87305773593318,13.0996430953815,0.27231177416679
"16","frc3373",24.7001838106103,6.3852102533537,13.3627948150281,0.258508612822988
"17","frc122",24.4333023259761,2.40527112164274,18.5080851340847,0.0984423263606733
"18","frc3939",22.8338222936839,7.24392322317798,11.6786765601471,0.317245318370624
"19","frc9033",22.5403648382237,2.41422275190142,14.9650809460915,0.107106640430567
"20","frc6194",21.7583212177834,6.78811110215616,14.8904592871756,0.311977704263698
"21","frc977",20.2789818651206,7.38995537261363,9.42174264021171,0.364414516555399
"22","frc6504",18.4699088636681,2.5339828467425,11.7291570958986,0.13719520033621
"23","frc9235",18.0969316955467,5.58627620998703,9.48129129626115,0.308686373135934
"24","frc619",17.8837503749913,4.23925635115641,8.0902863760381,0.237045153408347
"25","frc2028",16.9606796579263,6.42419035683826,9.61134538145297,0.378769629897232
"26","frc3361",13.874884136534,7.18109977254989,5.74649639121897,0.517561062267995
"27","frc1885",13.4111683576238,7.58523645509561,3.27590967111966,0.565591024795663
"28","frc9003",13.3171289731538,4.55755311047264,5.41832214027799,0.342232407575257
"29","frc1086",12.4963314254882,4.00281063632765,8.34029998448343,0.320318859994645
"30","frc1915",10.6670465451213,5.2617590928283,6.81804569570095,0.493272347746041
"31","frc1262",10.6396465097431,2.60648412515482,6.74552278767253,0.244978451376929
"32","frc4505",4.63715770614578,-0.354825010067065,6.37156098990332,-0.076517779327799
"33","frc3359",1.26198897015314,0.00955308797699406,3.49604740879036,0.00756986645916156
"34","frc540",-0.172640046087649,-2.173233705822,2.70755448776018,12.5882363627189
